Content type,ID,Name,Aka,Social identifiers,Authors (IDs),Authors (names),Discipline,Base texts (IDs),Base texts (names),Highest Year,Lowest Year
Person,97132,Śrījīvanātha,,,,,,,,,
Person,109825,Śrīkānta,,Paṇḍita,,,,,,,
Person,112073,Śrīkāntamiśra,,,,,,,,,
Person,40777,Śrīkaṇṭha,,,,,,,,,
Person,85359,Śrīkaṇṭha,,,,,,,,1025,1025
Person,85422,Śrīkaṇṭha,,,,,,,,1120,1120
Person,85681,Śrīkaṇṭha,Nīlakaṇṭha,,,,,,,1400,1400
Person,87786,Śrīkaṇṭha Bhagavadācārya,,,,,,,,,
Person,86185,Śrīkaṇṭha Dīkṣita,,Dīkṣita,,,,,,1660,1660
Work,109055,Śrīkaṇṭhacarita,,,109054,Maṅkha,Kāvya,,,,
Work,109057,Śrīkaṇṭhacaritaṭīkā,,,99828,Jonarāja,Kāvya,109055,Śrīkaṇṭhacarita,,
Person,108603,Śrīkaṇṭhadatta,Śrīkaṇṭha,,,,,,,1200,1100
Person,99163,Śrīkaṇṭhapaṇḍita,"Śrīkaṇṭhadattaśivācārya, Nīlakaṇṭha Śivācārya, Paramaśaivācāryaśrīkaṇṭhadatta, Śrīkaṇṭha Śivācārya",,,,,,,,
Person,108602,Śrīkaṇṭhaśivācārya,Nīlakaṇṭha,,,,,,,,
Work,88221,Śrīkaṇṭhasūtra,,,,,,,,355,355
Work,90264,Śrīkarabhāṣya on Bādarāyaṇa's Brahmasūtras,,,85629,Śrīpati,Vīraśaiva,88037,Brahmasūtra,,
Work,116050,Śrīkaruṇāpuṇḍarīkamahāyāna Sūtra (iyam) Sarvajñatakāradhāraṇī,,,,,Buddhism (general),,,,
Work,103405,Śrīkhaṇḍīvedāntasāra,,,,,Vedānta (general),,,,
Person,86738,Śrīkṛṣṇa Brahmatantra Mahādeśika,,,,,,,,1914,1914
Person,41019,Śrīkṛṣṇa Mauni,Śrīkṛṣṇa (Bhaṭṭa),Bhaṭṭa,,,,,,1775,1705
Person,110320,Śrikṛṣṇa Śarman,Kṛṣṇa Śarman,,,,,,,,
Person,86957,Śrīkṛṣṇa Vallabhācārya,,,,,,,,1965,1965
Person,97104,Śrīkṛṣṇabhaṭṭakavi,,,,,,,,,
Work,95495,Śrīkṛṣṇacaitanya on Bādarāyaṇa's Brahmasūtras,,,87739,Sarveśvara,,88037,Brahmasūtra,,
Work,96360,Śrīkṛṣṇacaritam,"Cēṭi nirvvahaṇam, Naṅṅyārammakkūttu",,,,"Kūṭiyāṭṭam, Nāṭya",,,,
Person,101428,Śrīkṛṣṇakavīśvara,,Pañcolī,,,,,,,
Person,102227,Śrīkṛṣṇavāgīśa,,,,,,,,,
Work,91985,Śrīkṛṣṭaśabdārthanirūpaṇam,,,86120,Harirāja,,,,,
Person,85118,Śrīlāta,,,,,,,,350,350
Person,87790,Śrīmad Upādhyāya,,Upādhyāya,,,,,,,
Work,112175,Śrīmahānārāyaṇamantrarājastotracintāmaṇi,Mahānārāyaṇamantrarājastotracintāmaṇi,,,,Tantra,,,,
Work,88159,Śrīmāladevīsiṃhanādasūtra,,,,,,,,250,250
Person,40453,Śrīmatī,,,,,,,,,
Person,40779,Śrīmatī,,,,,,,,,
Work,88160,Śrīmatibhadhamaniparipṛcchāsūtra,,,,,,,,250,250
Work,91987,Śrīmatprabhoḥ prādurbhāaprakāranirūpaṇam,,,86120,Harirāja,,,,,
Work,91986,Śrīmatprabhoḥ sarvāntaratvanirūpaṇam,,,86120,Harirāja,,,,,
Work,91989,Śrīmatprabhorbayonirūpaṇam,,,86120,Harirāja,,,,,
Work,91963,Śrīmatprabhościntanaprakāra,,,86120,Harirāja,,,,,
Work,91977,Śrīmatprabhuprākaṭhyahetunirṇaya,,,86120,Harirāja,,,,,
Work,115766,Śrī-nāgārjunīya-yogaśataka-bhūtavidyā,,,85145,Nāgārjuna,Vaidyaśāstra,,,,
Person,40814,Śrīnātha,,,,,,,,,
Person,111694,Śrīnātha Arjyāl,,,,,,,,,
Person,85872,Śrīnātha Bhaṭṭa,,Bhaṭṭa,,,,,,1540,1540
Person,110217,Śrīnātha Bhaṭṭācārya,,Bhaṭṭācārya,,,,,,1850,1850
Person,85765,Śrīnātha Bhaṭṭācārya Cakravartin,,Bhaṭṭācārya,,,,,,1470,1470
Person,85824,Śrinātha Cakravarti,,,,,,,,1510,1510
Person,87791,Śrīnātha Miśra,,,,,,,,,
Person,110155,Śrīnāthapaṇḍita,,,,,,,,1450,1450
