Collection,Text Name,Alternative Text Names,Author Name,Alternative Author Names,File Size (kb),Link 1 (main),Link 2 (underlying),Link 3 (extract),Work ID,Author ID
GRETIL,Vṛttamālāstuti,,Jñānaśrīmitra,Jñānaśrī,27.8,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/1_chandas/jvrtmspu.htm,,,...,85358
GRETIL,Harināmacintāmaṇi,,Kedāranātha Datta,Bhaktivinoda Ṭhākura,115.6,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/vaisn/harinc_u.htm,,,...,86590
GRETIL,Yaśodharācarita,,Davuldeṇa Jñāneśvara Mahāsthavira,,9.3,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/davyasou.htm,,,...,...
GRETIL,Yogāvatāra,,Dignāga,Diṅnāga,1.1,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa046_u.htm,,,...,—
GRETIL,Mugdhopadeśa,,Jalhaṇa,,17.8,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/jalmugpu.htm,,,...,...
GRETIL,"Daśakumāracarita: Ucchvāsas 3, 5 & 6",,Daṇḍin,,77.4,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/danddk1u.htm,,,...,96585
GRETIL,Daśākuśalakarmapathadeśanā,,Atīśa,"Dīpaṃkara Śrījñāna, Dīpaṃkaraśrījñāna",2.8,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa039_u.htm,,,...,...
GRETIL,Gauragovindārcanasmaraṇapaddhati,,Dhyānacandra Gosvāmī,,67.9,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/vaisn/dhyggs_u.htm,,,...,...
GRETIL,"Gopālacampū: Pūrvacampū, 1-11",,Jīva Gosvāmī,Jīva Gosvāmin,329.7,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/gp01-11u.htm,,,...,85910
GRETIL,"Gopālacampū: Pūrvacampū, 12-22",,Jīva Gosvāmī,Jīva Gosvāmin,307.8,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/gp12-22u.htm,,,...,85910
GRETIL,"Gopālacampū: Pūrvacampū, 23-33",,Jīva Gosvāmī,Jīva Gosvāmin,300.8,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/gp23-33u.htm,,,...,85910
GRETIL,"Gopālacampū: Uttaracampū, 1-3",,Jīva Gosvāmī,Jīva Gosvāmin,57.9,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/gu01-03u.htm,,,...,85910
GRETIL,"Gopālacampū: Uttaracampū, 29",,Jīva Gosvāmī,Jīva Gosvāmin,38,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/gu29___u.htm,,,...,85910
GRETIL,"Gopālacampū: Uttaracampū, 5-6",,Jīva Gosvāmī,Jīva Gosvāmin,60.5,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/gu05-06u.htm,,,...,85910
GRETIL,Kuṭṭanīmata,,Dāmodaragupta,Dāmodara,149.6,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/damkuttu.htm,,,...,...
GRETIL,Mālinīślokavārttika: Kāṇḍa 1,,Abhinavagupta,,130.3,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/abhmal1u.htm,,,...,85352
GRETIL,Mālinīślokavārttika: Kāṇḍa 2,,Abhinavagupta,,41.7,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/abhmal2u.htm,,,...,85352
GRETIL,Niṣpannayogāvali,,Abhayākaragupta,,9.2,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/abhnispu.htm,,,...,85411
GRETIL,Rādhākṛṣṇāṣṭakālīyalīlāsmaraṇakramapaddhati,,Dhyānacandra Gosvāmī,,24.4,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/vaisn/dhyrkk_u.htm,,,...,...
GRETIL,Triśatikāyāḥ Prajñāpāramitāyāḥ Kārikāsaptatiḥ,Vajracchedikāprajñāpāramitāsūtraśāstrakārikā (?),Asaṅga,,9.2,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/atrisatu.htm,,,...,85125
GRETIL,Vairāgyaśataka,,Appaya Dīkṣita,"Appayadīkṣita, Appaya",13.4,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/appvairu.htm,,,...,85954
GRETIL,Ānandakanda,,,,812.8,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/7_ayur/anandk_u.htm,,,...,—
GRETIL,Yogaśataka,Yogaśata,,,21.1,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/7_ayur/yogasatu.htm,,,...,—
GRETIL,Mṛtyuvañcanatārāsādhana,,,,0.9,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/mrtvts_u.htm,,,...,—
GRETIL,Mṛtyuvañcanopadeśatārāsādhana,,,,2,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/mrtvutsu.htm,,,...,—
GRETIL,Śālistambakakārikā,Āryaśālistambakakārikā,Nāgārjuna,,8.4,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa062_u.htm,,,...,85097
GRETIL,Gūḍhārthadīpikā,,Kuśalamiśra,,34.7,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/ghatgu_u.htm,,,...,...
